SourceFile,Title,Description,Subject,Headline,Credit,Creator,Rights,UsageTerms,WebStatement
stellenbosch-battery-diagnostics-digissential.webp,Battery diagnostics — Stellenbosch,"Bench test to check wear, cycles, and health before replacing a laptop battery.",Stellenbosch; laptop battery test; diagnostics; IT support; repair,Battery diagnostics,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/battery-diagnostics/
stellenbosch-cloud-backup-setup-digissential.webp,Cloud backup setup — Stellenbosch,"Secure cloud backup configured for files and photos with versioning and recovery.",Stellenbosch; cloud backup; data protection; Microsoft 365; Google Drive,Cloud backup setup,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/cloud-backup-setup/
stellenbosch-component-replacement-assistance-digissential.webp,Component replacement assistance,"Guided help to source and fit compatible parts for laptops or desktops.",Stellenbosch; component replacement; parts sourcing; hardware repair,Component replacement help,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/component-replacement-assistance/
stellenbosch-custom-pc-build-consultation-digissential.webp,Custom PC build consultation,"Advice on parts, compatibility, thermals, and budgets for a reliable custom PC.",Stellenbosch; custom PC; parts list; compatibility; workstation build,Custom PC build advice,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/custom-pc-build-consultation/
stellenbosch-data-backup-full-system-image-digissential.webp,Full-system image backup,"Create a restorable image of your entire system for disaster recovery.",Stellenbosch; image backup; full system; disaster recovery; data safety,System image backup,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/data-backup-full-image/
stellenbosch-data-backup-standard-files-digissential.webp,Files & folders backup,"Back up documents and photos with scheduled copies and checks.",Stellenbosch; file backup; photos; documents; scheduled backup,Files & folders backup,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/data-backup-files/
stellenbosch-data-destruction-certified-wipe-digissential.webp,Certified data wipe,"Drive securely erased with a verifiable, standards-based method.",Stellenbosch; data destruction; certified wipe; secure erase; privacy,Certified data wipe,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/data-destruction/
stellenbosch-data-migration-new-machine-digissential.webp,Data migration to a new machine,"Move your files, email, and settings to a new laptop or desktop.",Stellenbosch; data migration; new PC; transfer; email setup,Data migration — new device,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/data-migration/
stellenbosch-data-recovery-basic-digissential.webp,Data recovery (simple/logical),"Recover deleted files or drives that still mount; no risky clean-room work.",Stellenbosch; data recovery; logical recovery; deleted files,Data recovery — simple,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/data-recovery/
stellenbosch-data-recovery-digissential.webp,File & drive data recovery,"Cloning and safe recovery from failing disks where possible.",Stellenbosch; data recovery; disk clone; failing drive; file recovery,Data recovery service,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/data-recovery/
stellenbosch-diagnostic-in-shop-digissential.webp,Same-day diagnostics — Stellenbosch,"Bench diagnostics to identify faults and provide a clear repair plan.",Stellenbosch; diagnostics; fault finding; repair quote; bench test,Computer diagnostics,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/diagnostic-in-shop/
stellenbosch-driver-installation-digissential.webp,Driver installation & updates,"Install missing drivers and stabilize hardware for best performance.",Stellenbosch; drivers; device manager; stability; performance,Driver installation,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/driver-installation/
stellenbosch-email-setup-digissential.webp,Email setup & troubleshooting,"Configure accounts, IMAP/SMTP, and sync across devices.",Stellenbosch; email setup; Outlook; Gmail; IMAP; SMTP,Email setup and fixes,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/email-setup/
stellenbosch-expedited-service-ticket-digissential.webp,Expedited service ticket,"Priority handling to speed up repair or configuration work.",Stellenbosch; expedited; priority; fast turnaround,Expedited service,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/expedited-service/
stellenbosch-firmware-bios-uefi-updates-digissential.webp,BIOS/UEFI & firmware updates,"Apply vendor updates safely to improve stability or enable features.",Stellenbosch; BIOS update; UEFI; firmware; stability,BIOS & firmware updates,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/firmware-bios-uefi-updates/
stellenbosch-gpu-cpu-upgrade-digissential.webp,CPU/GPU upgrade consultation,"Check compatibility, power, and thermals for a safe performance upgrade.",Stellenbosch; GPU upgrade; CPU upgrade; power; thermals,CPU/GPU upgrade advice,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/gpu-cpu-upgrade/
stellenbosch-hdd-to-ssd-migration-digissential.webp,HDD-to-SSD migration,"Clone old hard drives to fast SSDs and set them up correctly.",Stellenbosch; SSD upgrade; clone; HDD to SSD; performance,HDD to SSD migration,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/ssd-upgrade/
stellenbosch-laptop-battery-replacement-digissential.webp,Laptop & MacBook battery replacement,"Professional battery fitting with calibration for best lifespan.",Stellenbosch; battery replacement; MacBook; laptop repair,Battery replacement — labour,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/battery-replacement/
stellenbosch-laptop-fan-replacement-labour-digissential.webp,Laptop fan replacement (labour),"Replace noisy or failed cooling fans and re-paste if needed.",Stellenbosch; laptop fan; cooling; thermal paste; overheating,Laptop fan replacement,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/laptop-fan-replacement/
stellenbosch-laptop-screen-repair-digissential.webp,Laptop screen replacement — Stellenbosch,"A close-up shot of a technician replacing a cracked laptop screen.",Stellenbosch; laptop screen; LCD; digitizer; repair,Laptop screen repair (labour),Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/laptop-screen-replacement/
stellenbosch-local-tune-up-speed-up-digissential.webp,In-shop tune-up & speed-up,"Remove bloat, update apps, and optimize startup for a snappy PC.",Stellenbosch; tune-up; speed up; optimization; maintenance,PC tune-up (local),Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/local-tune-up/
stellenbosch-malware-virus-removal-digissential.webp,Malware & virus removal — fast & safe,"Malware cleaning, baseline hardening, and restore of performance.",Stellenbosch; malware removal; virus cleanup; security,Malware removal,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/virus-malware-removal/
